Players,Team,Type,Base,Sold,Team_Name,season,pom_s1count,pom_s3count,name,nmatches_1s,total_runs_1s,ballsFaced_1s,total_fours_1s,total_sixes_1s,mediansr_1s,nmatches_3s,total_runs_3s,ballsFaced_3s,total_fours_3s,total_sixes_3s,run_rate_3s
Pat Cummins,SRH,AR,-,18.0,Sunrisers Hyderabad,2013,0,0,PJ Cummins,0,0,0,0,0,0.0,0,0,0,0,0,
Pat Cummins,SRH,AR,-,18.0,Sunrisers Hyderabad,2014,0,0,PJ Cummins,0,0,0,0,0,0.0,0,0,0,0,0,
Pat Cummins,SRH,AR,-,18.0,Sunrisers Hyderabad,2015,0,0,PJ Cummins,1,0,2,0,0,0.0,1,0,2,0,0,0.0
Pat Cummins,SRH,AR,-,18.0,Sunrisers Hyderabad,2016,0,0,PJ Cummins,0,0,0,0,0,0.0,1,0,2,0,0,0.0
Pat Cummins,SRH,AR,-,18.0,Sunrisers Hyderabad,2017,0,0,PJ Cummins,9,77,53,5,4,141.66500000000002,10,77,55,5,4,8.4
Pat Cummins,SRH,AR,-,18.0,Sunrisers Hyderabad,2018,0,0,PJ Cummins,0,0,0,0,0,0.0,9,77,53,5,4,8.716981132075471
Pat Cummins,SRH,AR,-,18.0,Sunrisers Hyderabad,2019,0,0,PJ Cummins,0,0,0,0,0,0.0,9,77,53,5,4,8.716981132075471
Pat Cummins,SRH,AR,-,18.0,Sunrisers Hyderabad,2020,1,1,PJ Cummins,11,146,114,9,8,125.0,11,146,114,9,8,7.684210526315789
Pat Cummins,SRH,AR,-,18.0,Sunrisers Hyderabad,2021,0,1,PJ Cummins,5,93,56,5,8,166.66,16,239,170,14,16,8.435294117647059
Pat Cummins,SRH,AR,-,18.0,Sunrisers Hyderabad,2022,1,2,PJ Cummins,5,63,24,5,6,100.0,21,302,194,19,22,9.34020618556701
Pat Cummins,SRH,AR,-,18.0,Sunrisers Hyderabad,2023,0,1,PJ Cummins,0,0,0,0,0,0.0,10,156,80,10,14,11.7
Pat Cummins,SRH,AR,-,18.0,Sunrisers Hyderabad,2024,0,1,PJ Cummins,7,77,47,4,5,100.0,12,140,71,9,11,11.830985915492958
Abhishek Sharma,SRH,AR,-,14.0,Sunrisers Hyderabad,2008,0,0,Abhishek Sharma,0,0,0,0,0,0.0,0,0,0,0,0,
Abhishek Sharma,SRH,AR,-,14.0,Sunrisers Hyderabad,2009,0,0,Abhishek Sharma,0,0,0,0,0,0.0,0,0,0,0,0,
