name,fullName,season,nmatchesbowl_1s,ballsdelivr_1s,total_maidens_1s,total_runscon_1s,total_wickets_1s,total_dots_1s,total_4sconc_1s,total_6sconc_1s,total_wides_1s,total_noballs_1s,median_econ_1s,nmatchesbowl_3s,ballsdelivr_3s,total_maidens_3s,total_runscon_3s,total_wickets_3s,total_dots_3s,total_4sconc_3s,total_6sconc_3s,total_wides_3s,total_noballs_3s,economyRate_1s,economyRate_3s
A Madhwal,Akash Madhwal,2021,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,,
A Madhwal,Akash Madhwal,2022,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,,
A Madhwal,Akash Madhwal,2023,8,153,0,219,14,53,16,9,2,5,8.5,8,153,0,219,14,53,16,9,2,5,8.588235294117647,8.588235294117647
A Madhwal,Akash Madhwal,2024,5,109,0,205,5,36,23,9,8,2,12.33,13,262,0,424,19,89,39,18,10,7,11.284403669724771,9.709923664122137
A Mishra,Amit Mishra,2008,6,120,0,138,11,44,4,8,3,1,7.375,6,120,0,138,11,44,4,8,3,1,6.9,6.9
A Mishra,Amit Mishra,2009,11,252,1,294,14,102,13,13,3,6,8.0,17,372,1,432,25,146,17,21,6,7,7.0,6.967741935483871
A Mishra,Amit Mishra,2010,14,318,0,363,17,136,26,16,8,3,6.625,31,690,1,795,42,282,43,37,14,10,6.849056603773585,6.913043478260869
A Mishra,Amit Mishra,2011,14,320,2,358,19,136,26,14,2,2,7.0,39,890,3,1015,50,374,65,43,13,11,6.7125,6.842696629213483
A Mishra,Amit Mishra,2012,14,282,0,377,13,93,18,18,5,2,7.875,42,920,2,1098,49,365,70,48,15,7,8.02127659574468,7.160869565217391
A Mishra,Amit Mishra,2013,17,372,1,394,21,152,21,16,2,2,6.0,45,974,3,1129,53,381,65,48,9,6,6.354838709677419,6.95482546201232
A Mishra,Amit Mishra,2014,10,225,0,340,7,68,17,21,3,2,8.75,41,879,1,1111,41,313,56,55,10,6,9.066666666666666,7.583617747440273
A Mishra,Amit Mishra,2015,12,241,0,310,9,77,18,11,8,0,7.5,39,838,1,1044,37,297,56,48,13,4,7.717842323651452,7.4749403341288785
A Mishra,Amit Mishra,2016,14,276,0,344,13,96,24,12,6,2,7.0,36,742,0,994,29,241,59,44,17,4,7.478260869565218,8.037735849056604
A Mishra,Amit Mishra,2017,14,233,1,343,10,80,23,20,4,0,9.21,40,750,1,997,32,253,65,43,18,2,8.832618025751072,7.976
A Mishra,Amit Mishra,2018,10,222,1,264,12,74,14,10,4,0,6.75,38,731,2,951,35,250,61,42,14,2,7.135135135135135,7.805745554035568
A Mishra,Amit Mishra,2019,11,240,0,270,11,83,14,10,3,0,6.0,35,695,2,877,33,237,51,40,11,0,6.75,7.571223021582734
A Mishra,Amit Mishra,2020,3,60,0,72,3,17,4,2,0,1,7.0,24,522,1,606,26,174,32,22,7,1,7.2,6.9655172413793105
A Mishra,Amit Mishra,2021,4,84,0,109,6,25,6,4,0,0,8.375,18,384,0,451,20,125,24,16,3,1,7.785714285714286,7.046875
A Mishra,Amit Mishra,2022,0,0,0,0,0,0,0,0,0,0,0.0,7,144,0,181,9,42,10,6,0,1,,7.541666666666667
A Mishra,Amit Mishra,2023,7,114,0,149,7,32,10,6,1,0,7.5,11,198,0,258,13,57,16,10,1,0,7.842105263157895,7.818181818181818
A Mishra,Amit Mishra,2024,1,12,0,20,1,5,1,2,0,0,10.0,8,126,0,169,8,37,11,8,1,0,10.0,8.047619047619047
A Mithun,Abhimanyu Mithun,2008,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,,
A Mithun,Abhimanyu Mithun,2009,1,24,0,42,0,7,3,2,3,0,10.5,1,24,0,42,0,7,3,2,3,0,10.5,10.5
A Mithun,Abhimanyu Mithun,2010,1,18,0,39,1,2,2,3,1,1,13.0,2,42,0,81,1,9,5,5,4,1,13.0,11.571428571428571
A Mithun,Abhimanyu Mithun,2011,12,204,0,321,5,71,26,15,9,8,9.66,14,246,0,402,6,80,31,20,13,9,9.441176470588236,9.804878048780488
A Mithun,Abhimanyu Mithun,2012,1,18,0,33,0,6,5,1,1,0,11.0,14,240,0,393,6,79,33,19,11,9,11.0,9.825
A Mithun,Abhimanyu Mithun,2013,1,24,0,37,1,9,6,0,1,0,9.25,14,246,0,391,6,86,37,16,11,8,9.25,9.536585365853659
A Mithun,Abhimanyu Mithun,2014,0,0,0,0,0,0,0,0,0,0,0.0,2,42,0,70,1,15,11,1,2,0,,10.0
A Mithun,Abhimanyu Mithun,2015,0,0,0,0,0,0,0,0,0,0,0.0,1,24,0,37,1,9,6,0,1,0,,9.25
A Mithun,Abhimanyu Mithun,2016,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,,
A Mithun,Abhimanyu Mithun,2017,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,,
A Mithun,Abhimanyu Mithun,2018,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,,
A Mithun,Abhimanyu Mithun,2019,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,,
A Mithun,Abhimanyu Mithun,2020,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,,
A Mithun,Abhimanyu Mithun,2021,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,,
A Mithun,Abhimanyu Mithun,2022,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,,
