pom,season,pom_s1count,pom_s3count
Chris Jordan,2010,0,0
Chris Jordan,2011,0,0
Chris Jordan,2012,0,0
Chris Jordan,2013,0,0
Chris Jordan,2014,0,0
Chris Jordan,2015,0,0
Chris Jordan,2016,0,0
Chris Jordan,2017,0,0
Chris Jordan,2018,0,0
Chris Jordan,2019,0,0
Chris Jordan,2020,1,1
Chris Jordan,2021,0,1
Chris Jordan,2022,0,1
Chris Jordan,2023,0,0
Chris Jordan,2024,0,0
Chris Lynn,2008,0,0
Chris Lynn,2009,0,0
Chris Lynn,2010,0,0
Chris Lynn,2011,0,0
Chris Lynn,2012,0,0
Chris Lynn,2013,0,0
Chris Lynn,2014,1,1
Chris Lynn,2015,0,1
Chris Lynn,2016,0,1
Chris Lynn,2017,1,1
Chris Lynn,2018,2,3
Chris Lynn,2019,0,3
Chris Lynn,2020,0,2
Chris Lynn,2021,0,0
Chris Lynn,2022,0,0
Chris Lynn,2023,0,0
Chris Lynn,2024,0,0
Chris Morris,2008,0,0
Chris Morris,2009,0,0
Chris Morris,2010,0,0
Chris Morris,2011,0,0
Chris Morris,2012,0,0
Chris Morris,2013,0,0
Chris Morris,2014,0,0
Chris Morris,2015,0,0
Chris Morris,2016,2,2
Chris Morris,2017,0,2
Chris Morris,2018,0,2
Chris Morris,2019,0,0
Chris Morris,2020,0,0
Chris Morris,2021,1,1
Chris Morris,2022,0,1
Chris Morris,2023,0,1
Chris Morris,2024,0,0
Corey Anderson,2008,0,0
Corey Anderson,2009,0,0
Corey Anderson,2010,0,0
Corey Anderson,2011,0,0
Corey Anderson,2012,0,0
Corey Anderson,2013,0,0
Corey Anderson,2014,2,2
Corey Anderson,2015,0,2
Corey Anderson,2016,0,2
Corey Anderson,2017,1,1
Corey Anderson,2018,0,1
Corey Anderson,2019,0,1
Corey Anderson,2020,0,0
Corey Anderson,2021,0,0
Corey Anderson,2022,0,0
Corey Anderson,2023,0,0
Corey Anderson,2024,0,0
Dale Steyn,2008,0,0
Dale Steyn,2009,0,0
Dale Steyn,2010,0,0
Dale Steyn,2011,1,1
Dale Steyn,2012,3,4
Dale Steyn,2013,0,4
Dale Steyn,2014,1,4
Dale Steyn,2015,0,1
Dale Steyn,2016,0,1
Dale Steyn,2017,0,0
Dale Steyn,2018,0,0
Dale Steyn,2019,0,0
Dale Steyn,2020,0,0
Dale Steyn,2021,0,0
Dale Steyn,2022,0,0
Dale Steyn,2023,0,0
Dale Steyn,2024,0,0
Daniel Sams,2008,0,0
Daniel Sams,2009,0,0
Daniel Sams,2010,0,0
Daniel Sams,2011,0,0
Daniel Sams,2012,0,0
Daniel Sams,2013,0,0
Daniel Sams,2014,0,0
Daniel Sams,2015,0,0
Daniel Sams,2016,0,0
Daniel Sams,2017,0,0
Daniel Sams,2018,0,0
Daniel Sams,2019,0,0
Daniel Sams,2020,0,0
Daniel Sams,2021,0,0
Daniel Sams,2022,1,1
Daniel Sams,2023,0,1
Daniel Sams,2024,0,1
Daniel Vettori,2008,0,0
Daniel Vettori,2009,1,1
Daniel Vettori,2010,0,1
Daniel Vettori,2011,0,1
Daniel Vettori,2012,0,0
